freq,psd_x,psd_y,psd_z,psd_xyz,zv(55.0),mzv(35.2),ei(54.6),2hump_ei(68.6),3hump_ei(83.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.988,0.990,0.988,0.987
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.969,0.976,0.972,0.970
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.979,0.945,0.958,0.952,0.948
6.3,1.998e+02,3.778e+00,3.008e+00,2.065e+02,0.969,0.915,0.936,0.928,0.923
7.9,2.591e+02,2.795e+00,2.339e+00,2.642e+02,0.956,0.880,0.911,0.900,0.894
9.5,3.170e+02,2.401e+00,2.187e+00,3.216e+02,0.942,0.841,0.882,0.869,0.862
11.1,3.789e+02,2.264e+00,1.890e+00,3.831e+02,0.926,0.797,0.851,0.835,0.826
12.6,4.509e+02,2.192e+00,1.704e+00,4.548e+02,0.908,0.749,0.816,0.798,0.788
14.2,5.302e+02,2.177e+00,1.640e+00,5.340e+02,0.888,0.698,0.779,0.759,0.748
15.8,6.240e+02,2.027e+00,1.635e+00,6.276e+02,0.867,0.644,0.740,0.718,0.706
17.4,7.611e+02,2.061e+00,1.560e+00,7.647e+02,0.844,0.588,0.699,0.676,0.663
19.0,8.028e+02,2.206e+00,1.522e+00,8.065e+02,0.819,0.531,0.656,0.632,0.618
20.5,7.902e+02,1.965e+00,1.521e+00,7.937e+02,0.794,0.473,0.612,0.587,0.573
22.1,9.169e+02,2.110e+00,1.392e+00,9.204e+02,0.766,0.414,0.568,0.542,0.528
23.7,1.026e+03,2.202e+00,1.269e+00,1.029e+03,0.738,0.357,0.522,0.496,0.483
25.3,1.188e+03,1.274e+00,1.490e+00,1.191e+03,0.708,0.300,0.477,0.451,0.438
26.9,1.465e+03,4.878e+00,1.872e+00,1.471e+03,0.676,0.245,0.432,0.407,0.394
28.4,1.608e+03,1.850e+01,1.728e+00,1.628e+03,0.644,0.192,0.387,0.364,0.352
30.0,1.839e+03,2.631e+01,1.734e+00,1.867e+03,0.611,0.142,0.343,0.322,0.311
31.6,2.260e+03,3.503e+01,2.474e+00,2.297e+03,0.576,0.096,0.301,0.281,0.272
33.2,2.726e+03,4.950e+01,3.033e+00,2.778e+03,0.541,0.056,0.260,0.243,0.235
34.8,3.324e+03,6.215e+01,3.713e+00,3.390e+03,0.505,0.036,0.221,0.207,0.200
36.3,4.255e+03,8.938e+01,4.289e+00,4.348e+03,0.468,0.039,0.184,0.173,0.168
37.9,5.878e+03,1.348e+02,4.984e+00,6.018e+03,0.430,0.059,0.149,0.142,0.139
39.5,8.032e+03,1.908e+02,7.386e+00,8.230e+03,0.392,0.083,0.117,0.113,0.113
41.1,1.138e+04,2.812e+02,2.067e+01,1.168e+04,0.353,0.103,0.088,0.088,0.090
42.7,1.388e+04,3.535e+02,4.357e+01,1.428e+04,0.314,0.118,0.062,0.066,0.070
44.2,1.140e+04,3.805e+02,6.216e+01,1.184e+04,0.275,0.128,0.041,0.048,0.055
