freq,psd_x,psd_y,psd_z,psd_xyz,zv(36.6),mzv(35.6),ei(42.4),2hump_ei(53.0),3hump_ei(64.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.988,0.986,0.984,0.982
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.979,0.970,0.966,0.961,0.957
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.963,0.946,0.939,0.931,0.925
6.3,4.755e+00,2.119e+02,2.577e+00,2.192e+02,0.942,0.917,0.907,0.895,0.887
7.9,3.607e+00,2.795e+02,2.202e+00,2.853e+02,0.917,0.883,0.869,0.854,0.843
9.5,3.112e+00,3.569e+02,1.981e+00,3.620e+02,0.888,0.843,0.826,0.807,0.795
11.1,3.090e+00,4.507e+02,1.880e+00,4.557e+02,0.855,0.800,0.779,0.757,0.742
12.6,2.997e+00,5.589e+02,1.846e+00,5.637e+02,0.819,0.753,0.728,0.703,0.687
14.2,2.855e+00,6.783e+02,1.886e+00,6.830e+02,0.780,0.703,0.674,0.647,0.630
15.8,2.704e+00,8.256e+02,2.112e+00,8.304e+02,0.737,0.650,0.618,0.590,0.571
17.4,3.084e+00,1.012e+03,2.623e+00,1.017e+03,0.691,0.595,0.560,0.531,0.511
19.0,3.736e+00,1.246e+03,3.293e+00,1.253e+03,0.643,0.539,0.502,0.473,0.453
20.5,2.700e+00,1.577e+03,4.525e+00,1.585e+03,0.593,0.481,0.444,0.415,0.395
22.1,2.989e+00,2.107e+03,6.237e+00,2.117e+03,0.540,0.424,0.386,0.359,0.340
23.7,3.050e+00,3.089e+03,1.032e+01,3.103e+03,0.485,0.367,0.330,0.305,0.288
25.3,1.380e+01,5.051e+03,2.147e+01,5.086e+03,0.429,0.310,0.276,0.254,0.238
26.9,9.931e+01,4.604e+03,2.205e+01,4.726e+03,0.371,0.256,0.225,0.207,0.193
28.4,2.556e+02,3.572e+03,1.557e+01,3.843e+03,0.313,0.203,0.178,0.164,0.153
30.0,4.119e+02,6.966e+03,4.659e+01,7.424e+03,0.253,0.153,0.134,0.125,0.117
31.6,4.334e+02,1.285e+04,1.409e+02,1.343e+04,0.194,0.106,0.095,0.091,0.087
33.2,4.829e+02,2.610e+04,4.513e+02,2.703e+04,0.135,0.064,0.062,0.063,0.063
34.8,5.317e+02,3.318e+04,7.663e+02,3.447e+04,0.088,0.039,0.035,0.042,0.047
36.3,5.175e+02,2.789e+04,8.189e+02,2.923e+04,0.063,0.036,0.020,0.029,0.038
37.9,5.484e+02,2.140e+04,7.802e+02,2.273e+04,0.076,0.051,0.024,0.028,0.037
39.5,4.950e+02,1.423e+04,6.400e+02,1.537e+04,0.114,0.076,0.033,0.032,0.038
41.1,4.095e+02,9.648e+03,5.233e+02,1.058e+04,0.170,0.098,0.039,0.036,0.040
42.7,3.666e+02,7.158e+03,4.542e+02,7.979e+03,0.225,0.114,0.039,0.038,0.040
44.2,3.561e+02,5.254e+03,3.996e+02,6.009e+03,0.279,0.126,0.035,0.038,0.038
45.8,2.758e+02,4.472e+03,4.539e+02,5.202e+03,0.332,0.132,0.030,0.035,0.034
47.4,1.827e+02,4.184e+03,5.541e+02,4.921e+03,0.382,0.133,0.028,0.030,0.029
49.0,2.050e+02,3.810e+03,6.869e+02,4.702e+03,0.430,0.130,0.031,0.023,0.024
50.6,2.209e+02,3.276e+03,8.924e+02,4.389e+03,0.476,0.121,0.042,0.015,0.018
52.1,2.603e+02,2.689e+03,1.184e+03,4.133e+03,0.519,0.108,0.061,0.011,0.013
53.7,2.514e+02,2.090e+03,1.490e+03,3.832e+03,0.560,0.096,0.092,0.011,0.012
55.3,1.903e+02,1.568e+03,1.666e+03,3.424e+03,0.597,0.088,0.126,0.014,0.015
56.9,1.122e+02,1.197e+03,1.512e+03,2.821e+03,0.631,0.082,0.162,0.021,0.019
58.4,6.547e+01,9.735e+02,1.187e+03,2.226e+03,0.662,0.080,0.200,0.026,0.023
60.0,7.282e+01,9.000e+02,8.653e+02,1.838e+03,0.690,0.085,0.239,0.030,0.027
61.6,5.476e+01,9.392e+02,6.521e+02,1.646e+03,0.714,0.096,0.279,0.032,0.029
63.2,3.940e+01,9.359e+02,5.207e+02,1.496e+03,0.735,0.113,0.318,0.031,0.030
64.8,2.730e+01,8.613e+02,4.854e+02,1.374e+03,0.752,0.134,0.357,0.027,0.029
66.3,1.838e+01,7.687e+02,5.015e+02,1.289e+03,0.765,0.169,0.395,0.027,0.027
67.9,1.381e+01,6.577e+02,4.710e+02,1.142e+03,0.775,0.210,0.431,0.027,0.024
69.5,7.809e+00,5.290e+02,3.707e+02,9.075e+02,0.781,0.250,0.465,0.030,0.020
71.1,4.582e+00,3.869e+02,2.887e+02,6.801e+02,0.784,0.291,0.497,0.035,0.015
72.7,3.527e+00,2.825e+02,3.712e+02,6.572e+02,0.783,0.331,0.525,0.043,0.013
74.2,6.733e+00,2.283e+02,4.152e+02,6.502e+02,0.778,0.370,0.550,0.059,0.012
75.8,6.724e+00,1.935e+02,3.643e+02,5.645e+02,0.770,0.407,0.571,0.083,0.012
77.4,4.541e+00,2.115e+02,3.185e+02,5.346e+02,0.759,0.442,0.588,0.110,0.014
79.0,5.137e+00,2.599e+02,2.713e+02,5.363e+02,0.744,0.476,0.601,0.138,0.016
80.6,6.080e+00,3.163e+02,2.279e+02,5.503e+02,0.726,0.506,0.610,0.167,0.020
82.1,7.274e+00,3.626e+02,1.796e+02,5.495e+02,0.705,0.534,0.614,0.198,0.023
83.7,7.160e+00,4.088e+02,1.365e+02,5.524e+02,0.680,0.558,0.613,0.229,0.025
85.3,6.763e+00,3.968e+02,9.597e+01,4.995e+02,0.654,0.579,0.609,0.260,0.025
86.9,6.811e+00,3.116e+02,5.812e+01,3.765e+02,0.624,0.596,0.600,0.290,0.023
88.5,6.966e+00,2.222e+02,3.356e+01,2.627e+02,0.592,0.609,0.587,0.320,0.024
90.0,7.027e+00,1.520e+02,2.066e+01,1.796e+02,0.558,0.619,0.570,0.348,0.026
91.6,7.837e+00,1.022e+02,1.466e+01,1.247e+02,0.522,0.624,0.549,0.374,0.028
93.2,9.424e+00,6.608e+01,1.259e+01,8.809e+01,0.484,0.626,0.526,0.398,0.031
94.8,8.973e+00,4.369e+01,1.219e+01,6.485e+01,0.445,0.623,0.499,0.420,0.036
96.4,7.637e+00,3.136e+01,1.339e+01,5.239e+01,0.404,0.617,0.470,0.438,0.042
97.9,8.138e+00,2.725e+01,1.756e+01,5.295e+01,0.372,0.607,0.438,0.454,0.060
99.5,1.104e+01,3.239e+01,2.564e+01,6.907e+01,0.351,0.593,0.405,0.465,0.080
101.1,1.527e+01,4.970e+01,4.440e+01,1.094e+02,0.333,0.576,0.371,0.474,0.102
102.7,1.937e+01,9.196e+01,7.627e+01,1.876e+02,0.316,0.556,0.336,0.478,0.125
104.3,1.997e+01,1.208e+02,9.409e+01,2.348e+02,0.302,0.533,0.301,0.479,0.149
105.8,1.590e+01,1.159e+02,8.857e+01,2.204e+02,0.292,0.507,0.267,0.476,0.173
107.4,1.362e+01,1.180e+02,8.434e+01,2.160e+02,0.285,0.479,0.232,0.469,0.198
109.0,1.437e+01,1.154e+02,7.493e+01,2.047e+02,0.282,0.449,0.200,0.459,0.222
110.6,1.065e+01,1.025e+02,5.995e+01,1.731e+02,0.283,0.418,0.168,0.446,0.246
112.2,7.500e+00,9.322e+01,4.869e+01,1.494e+02,0.288,0.385,0.153,0.430,0.268
113.7,7.069e+00,8.823e+01,4.361e+01,1.389e+02,0.296,0.352,0.140,0.411,0.289
115.3,8.731e+00,8.525e+01,4.113e+01,1.351e+02,0.307,0.318,0.129,0.389,0.308
116.9,1.152e+01,8.401e+01,4.069e+01,1.362e+02,0.320,0.285,0.119,0.366,0.326
118.5,1.335e+01,8.003e+01,3.866e+01,1.320e+02,0.334,0.252,0.111,0.341,0.340
120.1,1.358e+01,7.461e+01,3.590e+01,1.241e+02,0.349,0.224,0.105,0.315,0.352
121.6,1.302e+01,7.214e+01,3.822e+01,1.234e+02,0.367,0.210,0.100,0.287,0.362
123.2,1.890e+01,6.913e+01,4.481e+01,1.328e+02,0.401,0.198,0.097,0.260,0.368
124.8,1.812e+01,6.547e+01,4.198e+01,1.256e+02,0.434,0.187,0.096,0.232,0.371
126.4,1.469e+01,6.275e+01,3.125e+01,1.087e+02,0.465,0.178,0.095,0.205,0.372
128.0,1.410e+01,6.507e+01,2.688e+01,1.060e+02,0.494,0.170,0.096,0.179,0.369
129.5,9.745e+00,7.186e+01,3.383e+01,1.154e+02,0.521,0.164,0.098,0.153,0.363
131.1,6.016e+00,7.145e+01,3.480e+01,1.123e+02,0.546,0.159,0.100,0.130,0.354
132.7,3.931e+00,4.426e+01,2.236e+01,7.055e+01,0.568,0.155,0.104,0.108,0.343
134.3,2.199e+00,7.942e+00,5.472e+00,1.561e+01,0.587,0.153,0.109,0.093,0.330
135.9,2.306e+00,5.720e+00,2.787e+00,1.081e+01,0.604,0.151,0.115,0.085,0.314
137.4,3.401e+00,7.269e+00,3.331e+00,1.400e+01,0.618,0.150,0.123,0.078,0.296
139.0,4.994e+00,8.414e+00,4.942e+00,1.835e+01,0.629,0.150,0.130,0.072,0.277
140.6,7.039e+00,8.853e+00,8.606e+00,2.450e+01,0.638,0.150,0.139,0.067,0.257
142.2,1.008e+01,8.974e+00,1.404e+01,3.309e+01,0.644,0.150,0.149,0.063,0.236
143.8,1.410e+01,8.590e+00,1.682e+01,3.950e+01,0.647,0.151,0.168,0.059,0.214
145.3,1.387e+01,6.242e+00,1.407e+01,3.418e+01,0.647,0.152,0.192,0.056,0.192
146.9,1.074e+01,4.254e+00,1.468e+01,2.968e+01,0.645,0.154,0.217,0.054,0.171
148.5,1.107e+01,3.673e+00,1.795e+01,3.269e+01,0.640,0.156,0.242,0.052,0.150
150.1,1.162e+01,3.718e+00,2.113e+01,3.647e+01,0.632,0.159,0.266,0.050,0.130
151.7,1.411e+01,3.620e+00,2.567e+01,4.340e+01,0.622,0.162,0.289,0.049,0.110
153.2,1.733e+01,3.997e+00,2.997e+01,5.130e+01,0.610,0.166,0.312,0.048,0.093
154.8,1.978e+01,4.581e+00,3.389e+01,5.825e+01,0.595,0.171,0.333,0.047,0.077
156.4,2.079e+01,5.206e+00,3.665e+01,6.264e+01,0.578,0.176,0.352,0.047,0.065
158.0,2.092e+01,6.604e+00,3.850e+01,6.602e+01,0.559,0.182,0.369,0.047,0.060
159.6,1.987e+01,9.024e+00,3.929e+01,6.819e+01,0.538,0.189,0.384,0.047,0.055
161.1,1.707e+01,1.184e+01,3.806e+01,6.698e+01,0.516,0.196,0.397,0.048,0.051
162.7,1.309e+01,1.373e+01,3.433e+01,6.116e+01,0.492,0.204,0.407,0.048,0.048
164.3,8.681e+00,1.516e+01,2.787e+01,5.171e+01,0.467,0.216,0.414,0.049,0.045
165.9,7.902e+00,1.705e+01,2.417e+01,4.912e+01,0.442,0.239,0.419,0.051,0.042
167.5,1.529e+01,1.892e+01,2.684e+01,6.105e+01,0.417,0.262,0.420,0.052,0.040
169.0,2.899e+01,2.232e+01,3.373e+01,8.504e+01,0.409,0.285,0.420,0.054,0.038
170.6,4.048e+01,2.483e+01,3.737e+01,1.027e+02,0.400,0.307,0.416,0.057,0.036
172.2,4.695e+01,2.420e+01,3.652e+01,1.077e+02,0.393,0.329,0.410,0.059,0.035
173.8,4.749e+01,2.158e+01,3.261e+01,1.017e+02,0.386,0.349,0.401,0.062,0.034
175.3,4.434e+01,2.053e+01,2.632e+01,9.120e+01,0.380,0.367,0.390,0.065,0.033
176.9,3.435e+01,1.895e+01,1.824e+01,7.154e+01,0.375,0.384,0.377,0.068,0.032
178.5,2.367e+01,1.723e+01,1.250e+01,5.340e+01,0.372,0.399,0.362,0.072,0.031
180.1,1.537e+01,1.245e+01,9.103e+00,3.692e+01,0.369,0.412,0.346,0.076,0.031
181.7,1.436e+01,1.318e+01,9.008e+00,3.655e+01,0.368,0.422,0.328,0.081,0.030
183.2,1.254e+01,1.257e+01,7.560e+00,3.267e+01,0.368,0.431,0.308,0.087,0.030
184.8,9.457e+00,1.156e+01,5.869e+00,2.689e+01,0.369,0.437,0.288,0.101,0.030
186.4,6.555e+00,1.044e+01,4.219e+00,2.121e+01,0.371,0.441,0.268,0.116,0.029
188.0,5.064e+00,9.771e+00,3.474e+00,1.831e+01,0.374,0.442,0.247,0.131,0.029
189.6,3.982e+00,8.873e+00,2.934e+00,1.579e+01,0.378,0.441,0.226,0.147,0.029
191.1,3.727e+00,8.116e+00,2.900e+00,1.474e+01,0.382,0.437,0.206,0.162,0.029
192.7,3.650e+00,7.310e+00,3.189e+00,1.415e+01,0.387,0.432,0.187,0.178,0.030
194.3,3.614e+00,6.638e+00,3.496e+00,1.375e+01,0.393,0.424,0.181,0.193,0.030
195.9,4.211e+00,5.364e+00,4.317e+00,1.389e+01,0.399,0.414,0.175,0.207,0.030
197.5,5.318e+00,4.239e+00,5.610e+00,1.517e+01,0.406,0.402,0.169,0.221,0.030
199.0,7.784e+00,4.806e+00,7.168e+00,1.976e+01,0.427,0.389,0.165,0.233,0.031
