freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.514e+02,1.900e+01,1.374e+01,4.842e+02
1.6,2.805e+02,2.844e+01,2.312e+01,3.321e+02
3.2,4.865e+01,2.332e+01,2.211e+01,9.407e+01
4.7,3.905e+02,2.667e+01,2.078e+01,4.379e+02
6.3,1.262e+03,2.897e+01,1.989e+01,1.310e+03
7.9,2.096e+03,2.590e+01,2.019e+01,2.142e+03
9.5,3.081e+03,2.659e+01,2.234e+01,3.130e+03
11.1,4.337e+03,2.837e+01,2.330e+01,4.388e+03
12.6,5.959e+03,2.719e+01,2.663e+01,6.013e+03
14.2,7.941e+03,2.953e+01,2.774e+01,7.998e+03
15.8,1.051e+04,3.699e+01,2.778e+01,1.057e+04
17.4,1.393e+04,5.010e+01,3.160e+01,1.401e+04
19.0,1.600e+04,6.434e+01,3.370e+01,1.610e+04
20.5,1.728e+04,7.238e+01,3.409e+01,1.738e+04
22.1,2.076e+04,8.308e+01,3.460e+01,2.088e+04
23.7,2.542e+04,7.372e+01,4.004e+01,2.553e+04
25.3,3.343e+04,5.992e+01,5.141e+01,3.354e+04
26.9,4.460e+04,2.751e+02,7.666e+01,4.495e+04
28.4,5.320e+04,1.511e+03,7.264e+01,5.478e+04
30.0,6.520e+04,2.759e+03,7.228e+01,6.803e+04
31.6,8.365e+04,3.895e+03,1.043e+02,8.764e+04
33.2,1.028e+05,4.191e+03,1.453e+02,1.072e+05
34.8,1.308e+05,4.362e+03,1.932e+02,1.354e+05
36.3,1.734e+05,5.593e+03,2.422e+02,1.792e+05
37.9,2.459e+05,7.365e+03,3.814e+02,2.536e+05
39.5,3.602e+05,9.219e+03,6.675e+02,3.701e+05
41.1,5.442e+05,1.165e+04,1.293e+03,5.571e+05
42.7,6.609e+05,1.408e+04,2.406e+03,6.774e+05
44.2,7.628e+05,1.518e+04,4.014e+03,7.820e+05
45.8,6.675e+05,1.212e+04,4.897e+03,6.846e+05
47.4,4.291e+05,1.134e+04,5.069e+03,4.455e+05
49.0,3.123e+05,1.126e+04,6.065e+03,3.296e+05
50.6,3.502e+05,1.101e+04,7.654e+03,3.688e+05
52.2,5.414e+05,1.383e+04,1.208e+04,5.673e+05
53.7,8.008e+05,1.787e+04,2.172e+04,8.404e+05
55.3,8.807e+05,1.940e+04,2.740e+04,9.275e+05
56.9,7.780e+05,1.980e+04,2.440e+04,8.222e+05
58.5,6.245e+05,2.008e+04,1.972e+04,6.643e+05
60.1,5.064e+05,2.184e+04,1.779e+04,5.461e+05
61.6,4.155e+05,2.412e+04,1.637e+04,4.560e+05
63.2,3.120e+05,2.646e+04,1.516e+04,3.536e+05
64.8,2.344e+05,2.556e+04,1.384e+04,2.738e+05
66.4,1.795e+05,1.979e+04,1.177e+04,2.111e+05
68.0,1.399e+05,1.457e+04,8.195e+03,1.627e+05
69.5,1.190e+05,1.123e+04,5.804e+03,1.360e+05
71.1,9.949e+04,7.720e+03,3.606e+03,1.108e+05
72.7,8.252e+04,3.911e+03,3.230e+03,8.966e+04
74.3,7.644e+04,1.915e+03,3.774e+03,8.212e+04
75.9,7.723e+04,9.171e+02,3.877e+03,8.202e+04
77.4,7.486e+04,1.109e+03,4.256e+03,8.022e+04
79.0,7.108e+04,1.415e+03,3.778e+03,7.627e+04
80.6,7.603e+04,1.571e+03,4.112e+03,8.171e+04
82.2,7.340e+04,1.849e+03,4.528e+03,7.978e+04
83.8,6.441e+04,2.272e+03,4.009e+03,7.069e+04
85.3,5.824e+04,2.838e+03,2.927e+03,6.401e+04
86.9,6.155e+04,3.589e+03,2.037e+03,6.718e+04
88.5,7.445e+04,3.040e+03,1.322e+03,7.881e+04
90.1,9.054e+04,1.804e+03,1.916e+03,9.426e+04
91.7,1.086e+05,2.558e+03,3.490e+03,1.146e+05
93.2,1.345e+05,3.968e+03,5.501e+03,1.440e+05
94.8,1.492e+05,5.037e+03,6.904e+03,1.611e+05
96.4,1.499e+05,5.731e+03,7.742e+03,1.634e+05
98.0,1.421e+05,6.329e+03,7.968e+03,1.564e+05
99.6,1.330e+05,6.515e+03,7.669e+03,1.472e+05
101.1,1.250e+05,6.693e+03,7.359e+03,1.391e+05
102.7,1.168e+05,6.985e+03,7.163e+03,1.309e+05
104.3,1.006e+05,6.555e+03,6.314e+03,1.135e+05
105.9,8.541e+04,5.462e+03,5.385e+03,9.626e+04
107.5,8.360e+04,5.632e+03,5.797e+03,9.503e+04
109.0,8.135e+04,4.925e+03,5.790e+03,9.207e+04
110.6,7.845e+04,3.933e+03,6.101e+03,8.849e+04
112.2,7.601e+04,3.267e+03,7.287e+03,8.656e+04
113.8,7.332e+04,2.988e+03,9.350e+03,8.566e+04
115.4,7.119e+04,2.997e+03,1.164e+04,8.583e+04
116.9,7.287e+04,3.195e+03,1.361e+04,8.968e+04
118.5,7.957e+04,3.533e+03,1.622e+04,9.932e+04
120.1,9.001e+04,4.291e+03,1.978e+04,1.141e+05
121.7,9.038e+04,5.423e+03,2.218e+04,1.180e+05
123.3,7.529e+04,5.578e+03,2.185e+04,1.027e+05
124.8,6.776e+04,5.322e+03,2.265e+04,9.573e+04
126.4,6.991e+04,5.191e+03,2.393e+04,9.903e+04
128.0,7.548e+04,6.148e+03,2.787e+04,1.095e+05
129.6,9.258e+04,7.359e+03,3.366e+04,1.336e+05
131.2,1.023e+05,8.073e+03,3.716e+04,1.476e+05
132.7,7.660e+04,7.167e+03,3.318e+04,1.169e+05
134.3,3.039e+04,5.113e+03,2.320e+04,5.871e+04
135.9,1.923e+04,4.444e+03,1.816e+04,4.183e+04
137.5,1.468e+04,4.225e+03,1.460e+04,3.351e+04
139.1,1.374e+04,4.259e+03,1.248e+04,3.048e+04
140.7,1.060e+04,3.703e+03,9.234e+03,2.354e+04
142.2,8.551e+03,3.766e+03,6.917e+03,1.923e+04
143.8,7.867e+03,3.875e+03,5.500e+03,1.724e+04
145.4,8.256e+03,3.977e+03,6.091e+03,1.832e+04
147.0,9.669e+03,4.367e+03,7.874e+03,2.191e+04
148.6,1.166e+04,4.757e+03,9.932e+03,2.635e+04
150.1,1.473e+04,5.469e+03,1.282e+04,3.302e+04
151.7,1.971e+04,6.551e+03,1.721e+04,4.347e+04
153.3,2.807e+04,8.078e+03,2.304e+04,5.919e+04
154.9,3.849e+04,9.830e+03,2.928e+04,7.760e+04
156.5,4.836e+04,1.188e+04,3.475e+04,9.499e+04
158.0,5.459e+04,1.354e+04,3.852e+04,1.067e+05
159.6,5.933e+04,1.533e+04,4.191e+04,1.166e+05
161.2,6.044e+04,1.667e+04,4.316e+04,1.203e+05
162.8,5.912e+04,1.767e+04,4.249e+04,1.193e+05
164.4,5.654e+04,1.828e+04,4.063e+04,1.154e+05
165.9,5.318e+04,1.908e+04,3.738e+04,1.096e+05
167.5,4.852e+04,1.997e+04,3.173e+04,1.002e+05
169.1,4.181e+04,2.025e+04,2.416e+04,8.621e+04
170.7,3.603e+04,2.076e+04,1.864e+04,7.544e+04
172.3,2.979e+04,1.942e+04,1.481e+04,6.402e+04
173.8,3.152e+04,1.961e+04,1.603e+04,6.716e+04
175.4,3.103e+04,1.988e+04,1.597e+04,6.689e+04
177.0,2.688e+04,1.930e+04,1.360e+04,5.978e+04
178.6,2.606e+04,1.845e+04,1.411e+04,5.863e+04
180.2,2.429e+04,1.756e+04,1.363e+04,5.548e+04
181.7,2.194e+04,1.738e+04,1.180e+04,5.113e+04
183.3,1.987e+04,1.693e+04,1.077e+04,4.756e+04
184.9,1.858e+04,1.511e+04,1.085e+04,4.453e+04
186.5,1.554e+04,1.307e+04,9.978e+03,3.858e+04
188.1,1.210e+04,1.140e+04,8.244e+03,3.175e+04
189.6,1.054e+04,1.027e+04,7.461e+03,2.827e+04
191.2,9.543e+03,9.092e+03,7.101e+03,2.574e+04
192.8,9.312e+03,8.071e+03,7.065e+03,2.445e+04
194.4,9.896e+03,7.200e+03,7.271e+03,2.437e+04
196.0,1.107e+04,6.507e+03,7.255e+03,2.484e+04
197.5,1.184e+04,6.082e+03,6.844e+03,2.477e+04
199.1,1.335e+04,6.239e+03,7.068e+03,2.666e+04
