freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.987e+01,5.152e+02,3.717e+01,5.723e+02
1.6,3.493e+01,2.970e+02,3.134e+01,3.633e+02
3.2,3.114e+01,3.156e+01,1.405e+01,7.675e+01
4.7,3.013e+01,3.983e+02,1.529e+01,4.437e+02
6.3,3.130e+01,1.324e+03,1.662e+01,1.372e+03
7.9,3.488e+01,2.211e+03,1.554e+01,2.262e+03
9.5,3.538e+01,3.349e+03,1.687e+01,3.401e+03
11.1,3.751e+01,5.003e+03,1.913e+01,5.060e+03
12.6,4.303e+01,7.152e+03,2.155e+01,7.216e+03
14.2,4.857e+01,9.740e+03,2.754e+01,9.816e+03
15.8,5.161e+01,1.313e+04,3.350e+01,1.322e+04
17.4,5.539e+01,1.778e+04,4.302e+01,1.788e+04
19.0,8.331e+01,2.399e+04,5.691e+01,2.413e+04
20.5,6.606e+01,3.273e+04,8.172e+01,3.288e+04
22.1,4.594e+01,4.680e+04,1.291e+02,4.697e+04
23.7,4.601e+01,7.487e+04,2.489e+02,7.516e+04
25.3,3.664e+02,1.300e+05,5.540e+02,1.309e+05
26.9,2.732e+03,1.161e+05,5.346e+02,1.194e+05
28.4,7.209e+03,9.743e+04,4.021e+02,1.050e+05
30.0,1.068e+04,1.927e+05,1.243e+03,2.046e+05
31.6,1.212e+04,4.182e+05,4.551e+03,4.349e+05
33.2,1.759e+04,9.038e+05,1.537e+04,9.367e+05
34.8,2.057e+04,1.119e+06,2.572e+04,1.166e+06
36.3,2.073e+04,9.561e+05,2.830e+04,1.005e+06
37.9,2.255e+04,7.648e+05,2.801e+04,8.154e+05
39.5,2.131e+04,5.412e+05,2.420e+04,5.867e+05
41.1,1.786e+04,3.895e+05,2.112e+04,4.285e+05
42.7,1.408e+04,2.982e+05,1.927e+04,3.316e+05
44.2,1.324e+04,2.274e+05,1.783e+04,2.585e+05
45.8,1.086e+04,2.011e+05,2.080e+04,2.327e+05
47.4,7.876e+03,1.934e+05,2.626e+04,2.275e+05
49.0,9.119e+03,1.809e+05,3.462e+04,2.247e+05
50.6,9.662e+03,1.618e+05,4.896e+04,2.204e+05
52.1,1.179e+04,1.367e+05,6.721e+04,2.157e+05
53.7,1.235e+04,1.087e+05,8.149e+04,2.026e+05
55.3,9.809e+03,8.456e+04,8.609e+04,1.805e+05
56.9,5.464e+03,6.940e+04,7.588e+04,1.507e+05
58.5,3.831e+03,6.007e+04,6.037e+04,1.243e+05
60.0,4.754e+03,5.770e+04,4.782e+04,1.103e+05
61.6,3.687e+03,5.885e+04,3.831e+04,1.008e+05
63.2,2.509e+03,5.686e+04,3.247e+04,9.184e+04
64.8,1.629e+03,5.192e+04,3.117e+04,8.473e+04
66.4,1.236e+03,4.785e+04,3.226e+04,8.134e+04
67.9,9.724e+02,4.284e+04,3.074e+04,7.456e+04
69.5,5.395e+02,3.508e+04,2.504e+04,6.066e+04
71.1,3.285e+02,2.675e+04,2.161e+04,4.869e+04
72.7,3.119e+02,2.081e+04,2.857e+04,4.969e+04
74.3,5.664e+02,1.731e+04,3.066e+04,4.854e+04
75.8,4.954e+02,1.512e+04,2.786e+04,4.348e+04
77.4,4.024e+02,1.710e+04,2.514e+04,4.265e+04
79.0,4.006e+02,2.175e+04,2.167e+04,4.382e+04
80.6,3.919e+02,2.683e+04,1.825e+04,4.547e+04
82.2,4.622e+02,3.049e+04,1.439e+04,4.535e+04
83.7,4.811e+02,3.413e+04,1.099e+04,4.561e+04
85.3,5.368e+02,3.233e+04,7.685e+03,4.056e+04
86.9,5.987e+02,2.486e+04,4.757e+03,3.021e+04
88.5,6.289e+02,1.777e+04,2.868e+03,2.126e+04
90.1,6.048e+02,1.244e+04,1.827e+03,1.487e+04
91.6,5.698e+02,8.570e+03,1.256e+03,1.040e+04
93.2,6.531e+02,6.061e+03,1.064e+03,7.778e+03
94.8,8.158e+02,4.357e+03,1.088e+03,6.260e+03
96.4,9.495e+02,3.395e+03,1.256e+03,5.600e+03
98.0,9.977e+02,3.070e+03,1.661e+03,5.729e+03
99.5,1.296e+03,3.845e+03,2.579e+03,7.720e+03
101.1,1.623e+03,6.259e+03,4.701e+03,1.258e+04
102.7,1.770e+03,1.056e+04,8.051e+03,2.038e+04
104.3,1.658e+03,1.268e+04,9.619e+03,2.396e+04
105.9,1.291e+03,1.225e+04,9.072e+03,2.261e+04
107.4,1.347e+03,1.288e+04,8.778e+03,2.301e+04
109.0,1.327e+03,1.237e+04,7.679e+03,2.138e+04
110.6,9.874e+02,1.105e+04,6.212e+03,1.825e+04
112.2,8.152e+02,1.019e+04,5.216e+03,1.622e+04
113.8,9.112e+02,9.741e+03,4.732e+03,1.538e+04
115.3,1.173e+03,9.613e+03,4.553e+03,1.534e+04
116.9,1.461e+03,9.664e+03,4.442e+03,1.557e+04
118.5,1.676e+03,9.206e+03,4.111e+03,1.499e+04
120.1,1.623e+03,8.738e+03,3.889e+03,1.425e+04
121.7,1.689e+03,8.361e+03,4.533e+03,1.458e+04
123.2,2.293e+03,8.296e+03,5.113e+03,1.570e+04
124.8,1.855e+03,8.036e+03,4.339e+03,1.423e+04
126.4,1.646e+03,7.792e+03,3.169e+03,1.261e+04
128.0,1.705e+03,8.245e+03,3.446e+03,1.340e+04
129.6,9.882e+02,9.079e+03,4.149e+03,1.422e+04
131.1,7.261e+02,9.094e+03,4.135e+03,1.396e+04
132.7,5.465e+02,5.859e+03,2.886e+03,9.292e+03
134.3,2.925e+02,1.170e+03,7.329e+02,2.196e+03
135.9,3.025e+02,1.000e+03,3.343e+02,1.637e+03
137.5,4.387e+02,1.320e+03,3.585e+02,2.117e+03
139.0,6.255e+02,1.450e+03,5.809e+02,2.657e+03
140.6,9.536e+02,1.498e+03,1.134e+03,3.586e+03
142.2,1.495e+03,1.470e+03,1.903e+03,4.868e+03
143.8,1.826e+03,1.125e+03,2.028e+03,4.979e+03
145.4,1.367e+03,7.591e+02,1.731e+03,3.857e+03
146.9,1.188e+03,6.300e+02,2.056e+03,3.874e+03
148.5,1.327e+03,5.570e+02,2.567e+03,4.451e+03
150.1,1.655e+03,6.107e+02,3.266e+03,5.532e+03
151.7,2.391e+03,7.511e+02,4.095e+03,7.237e+03
153.3,3.271e+03,1.072e+03,4.821e+03,9.164e+03
154.8,3.964e+03,1.396e+03,5.546e+03,1.091e+04
156.4,4.231e+03,1.592e+03,5.993e+03,1.182e+04
158.0,3.919e+03,1.745e+03,6.043e+03,1.171e+04
159.6,3.391e+03,2.038e+03,5.915e+03,1.134e+04
161.2,2.759e+03,2.452e+03,5.525e+03,1.074e+04
